,id,created_at,full_text,display_text_range,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,possibly_sensitive
62,1434845923088244739,Mon Sep 06 11:48:20 +0000 2021,Maria #Kolesnikowa und Maxim Znak sind mutige Kämpfer*innen für Demokratie und Menschenrechte. Sie sind unschuldig und das Urteil gegen sie nicht hinnehmbar. Sie und alle politischen Gefangenen in #Belarus müssen umgehend freigelassen werden. #WeStandByYou #StandWithBelarus 1/3,"[0, 278]",,,False,264,2912,
63,1434155557821235200,Sat Sep 04 14:05:04 +0000 2021,"Die Menschen in #Altenahr haben mir gesagt, sie wünschen sich eine schnellere Auszahlung der Hilfen und mehr praktische Unterstützung beim Wiederaufbau. Was es daneben braucht, haben @IreneMihalic und ich hier aufgeschrieben: https://t.co/Pfb9wEJ4Eu","[0, 249]",2179010672.0,ABaerbock,False,102,1184,False
64,1434155555300466689,Sat Sep 04 14:05:04 +0000 2021,"Ich bewundere die Kraft der Menschen in #Altenahr. Viele von ihnen haben in der #Flutkatastrophe ihre Angehörigen verloren, ihr Zuhause, ihre Existenz. Sie schufften jeden Tag, um ihr Leben wieder aufzubauen. Es ist großartig, wie viele Ehrenamtliche helfen. Ganz großen Dank! https://t.co/PmZ0LXl2vZ","[0, 276]",,,False,287,4431,False
65,1433432904894398464,Thu Sep 02 14:13:31 +0000 2021,@CKemfert @ArminLaschet @OlafScholz @Die_Gruenen @CDU @spdbt Ich bin dabei 👍,"[61, 76]",48406195.0,CKemfert,False,118,3494,
66,1433017064227328001,Wed Sep 01 10:41:06 +0000 2021,"Kinder sind nur so stark wie ihre Chancen. Dass unser Schulsystem Ungleichheit verstärkt statt behebt, ist ein Armutszeugnis. Eine Bildungsoffensive ist überfällig: stärkere Bundesfinanzierung, v.a. für Schulen in benachteiligten Gebieten &amp; Ganztagsausbau mit Qualität. https://t.co/q9Pl4VedXy","[0, 273]",,,True,302,3169,False
67,1433012018160848897,Wed Sep 01 10:21:03 +0000 2021,Ich freue mich auf das Gespräch heute Abend bei @ProSieben. https://t.co/8SvIa0O6v7,"[0, 59]",,,True,157,2928,False
68,1432357608325885955,Mon Aug 30 15:00:40 +0000 2021,"Herzlichen Glückwunsch, @greenpeace_de, zu 50 Jahren #HopeInAction, couragiertem Einsatz für unsere Lebensgrundlagen und eine friedlichere Welt! https://t.co/QkCbJuyFiA","[0, 144]",,,True,146,2597,False
69,1432293055105847298,Mon Aug 30 10:44:09 +0000 2021,"Die Klimakrise erfordert konsequentes Handeln. @AgoraEW, @agoraverkehr &amp; @StiftungKlima haben heute mit ihrem Klimaschutz-Sofortprogramm gezeigt, was angepackt werden muss. Unsere Vorschläge liegen auf dem Tisch - wir sind für eine Klimaregierung bereit.

https://t.co/vzpYkvcgLf https://t.co/qAd1eDEt96","[0, 283]",,,True,154,1408,False
70,1432012580776726538,Sun Aug 29 16:09:39 +0000 2021,Heute bin ich um 20.10 Uhr mit meinen zwei Mitbewerbern um das Kanzler*innenamt im #RTLTriell. Ich freue mich auf eine spannende Diskussion im Streit um die besten Ideen für unser Land! https://t.co/9v7y1hif4i,"[0, 185]",,,True,225,4803,False
71,1431255756335091723,Fri Aug 27 14:02:18 +0000 2021,"Klar ist: Diese Gefahr, in die sie sich begeben mussten, dieses Chaos, das ist das Versagen der aktuellen Bundesregierung. Ein Untersuchungsausschuss muss klären, wie es dazu kommen konnte. Dafür werden wir weiter kämpfen.","[0, 222]",2179010672.0,ABaerbock,False,120,2236,
